
Gurobi 9.5.1 (win64) logging started Tue Sep 19 00:56:07 2023

Set parameter LogFile to value "consol_sol_wt_1_time_36000_ver1.0.txt"
Set parameter TimeLimit to value 36000
Gurobi Optimizer version 9.5.1 build v9.5.1rc2 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 199781 rows, 74550 columns and 1039284 nonzeros
Model fingerprint: 0x6b59279d
Variable types: 0 continuous, 74550 integer (74550 binary)
Coefficient statistics:
  Matrix range     [1e+00, 5e+01]
  Objective range  [1e+00, 3e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 8e+00]
Found heuristic solution: objective -0.0000000
Presolve removed 120020 rows and 5580 columns (presolve time = 5s) ...
Presolve removed 124820 rows and 6220 columns (presolve time = 10s) ...
Presolve removed 124780 rows and 6180 columns
Presolve time: 10.14s
Presolved: 75001 rows, 68370 columns, 897913 nonzeros
Variable types: 0 continuous, 68370 integer (68330 binary)

Deterministic concurrent LP optimizer: primal and dual simplex
Showing first log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   170   182  434.96225   43 18442  323.50000  453.08453  40.1%  8040 9133s
   181   194  434.90975   46 18053  323.50000  453.08453  40.1%  8015 9282s
H  185   194                     328.5000000  453.08453  37.9%  7917 9282s
   193   200  434.77268   48 17445  328.50000  453.08453  37.9%  7799 9638s
   199   211  434.70974   50 17310  328.50000  453.08453  37.9%  8151 9832s
   210   228  433.67953   53 16467  328.50000  453.08453  37.9%  8133 10296s
   227   246  433.66410   54 16477  328.50000  453.08453  37.9%  8029 10470s
H  239   246                     329.5000000  453.08453  37.5%  7816 10470s
   245   257  433.49068   56 17134  329.50000  453.08453  37.5%  7753 10661s
   256   270  429.50314   57 16034  329.50000  453.08453  37.5%  7655 11021s
   269   296  429.44123   65 14732  329.50000  453.08453  37.5%  7703 11236s
   295   324  429.36331   72 15402  329.50000  453.08453  37.5%  7312 11443s
H  323   334                     333.5000000  453.08453  35.9%  6916 11762s
H  333   338                     339.5000000  453.08453  33.5%  6792 13807s
H  334   338                     341.5000000  453.08453  32.7%  6800 13807s
H  336   338                     345.5000000  453.08453  31.1%  6772 13807s
   337   377  429.24937   80 15104  345.50000  453.08453  31.1%  6771 14050s
   376   381  428.64982   85 14348  345.50000  453.08453  31.1%  6336 14844s
H  377   381                     349.5000000  453.08453  29.6%  6319 14844s
   380   426  428.62463   86 14109  349.50000  453.08453  29.6%  6303 15084s
H  425   461                     351.5000000  453.08453  28.9%  5844 15329s
H  441   461                     354.0000000  453.08453  28.0%  5697 15329s
   460   509  423.20469   91 16182  354.00000  453.08453  28.0%  5534 15611s
H  499   509                     355.0000000  453.08453  27.6%  5261 15611s
   508   550  415.28275   97 13840  355.00000  453.08453  27.6%  5193 15884s
   553   593  414.96826  108 13235  355.00000  453.08453  27.6%  4959 16172s
   598   654  410.33950  114 12940  355.00000  453.08453  27.6%  4771 16524s
   661   720  398.28623  126 10595  355.00000  453.08453  27.6%  4488 16779s
   735   792  396.50000  140 9484  355.00000  453.08453  27.6%  4197 17042s
   811   826  396.50000  151 9556  355.00000  453.08453  27.6%  3938 17351s
   855   881  396.50000  165 9929  355.00000  453.08453  27.6%  3861 17662s
   916   919 infeasible  177       355.00000  453.08453  27.6%  3716 18106s
   968   970  396.50000  190 10269  355.00000  453.08453  27.6%  3661 18477s
H 1029   974                     356.0000000  453.08453  27.3%  3534 19489s
  1033  1016  396.50000  202 10058  356.00000  453.08453  27.3%  3527 19843s
  1089  1064  396.50000  215 10129  356.00000  453.08453  27.3%  3438 20408s
  1147  1113  396.50000  229 10240  356.00000  453.08453  27.3%  3431 20882s
  1208  1128  396.50000  245 10455  356.00000  453.08453  27.3%  3371 22277s
  1239  1175  396.50000  256 10733  356.00000  453.08453  27.3%  3475 22949s
H 1267  1175                     356.5000000  453.08453  27.1%  3430 22949s
  1298  1227  396.50000  273 10416  356.50000  453.08453  27.1%  3515 23489s
H 1317  1227                     357.5000000  453.08453  26.7%  3486 23489s
  1362  1262  396.50000  286 11067  357.50000  453.08453  26.7%  3448 24480s
  1411  1343  396.50000  296 11239  357.50000  453.08453  26.7%  3540 25299s
  1500  1384  396.50000  322 11846  357.50000  453.08453  26.7%  3462 25943s
  1561  1426  396.50000  338 11793  357.50000  453.08453  26.7%  3448 26673s
  1623  1473  396.50000  348 11506  357.50000  453.08453  26.7%  3428 27501s
  1694  1528  396.50000  354 11554  357.50000  453.08453  26.7%  3440 28334s
  1767  1578  396.50000  373 11488  357.50000  453.08453  26.7%  3391 29139s
  1843  1605  396.50000  384 12230  357.50000  453.08453  26.7%  3352 30084s
  1886  1652  396.50000  396 11948  357.50000  453.08453  26.7%  3377 30807s
